연번,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호,관리기관명
214,송추임가정의원,의원,경기도 양주시 장흥면 가마골로 11 (푸른마을상가 102호),031-877-7532,양주시 보건행정과
215,성모정형외과의원,의원,경기도 양주시 독바위로 5 (덕정동),031-859-1119,양주시 보건행정과
216,라파이비인후과의원,의원,경기도 양주시 평화로 1420 (덕계동),031-862-9905,양주시 보건행정과
217,손정문비뇨기과의원,의원,경기도 양주시 평화로 1432 (덕계동),031-861-1488,양주시 보건행정과
218,백석의원,의원,경기도 양주시 백석읍 양주산성로 538,031-837-7575,양주시 보건행정과
219,장원규내과의원,의원,경기도 양주시 평화로1435번길 5-3 (덕계동),031-861-7583,양주시 보건행정과
220,서울산부인과의원,의원,"경기도 양주시 고암길 306-77 (덕정동, 황금프라자 4층)",031-861-5810,양주시 보건행정과
221,서울안과의원,의원,경기도 양주시 평화로 1420 (덕계동),031-865-4001,양주시 보건행정과
222,양주정형외과의원,의원,"경기도 양주시 평화로 1420 (덕계동, 세원프라자 403호)",031-864-5119,양주시 보건행정과
223,이병철내과의원,의원,"경기도 양주시 고암길 306-77 (덕정동, 황금프라자 303호)",031-858-7582,양주시 보건행정과
224,서울내과의원,의원,"경기도 양주시 회정로 114 (덕정동, 금강프라자 301호)",031-859-0400,양주시 보건행정과
225,한마음이비인후과의원,의원,"경기도 양주시 회정로 134 (덕정동, 두리테크 308호)",031-859-7559,양주시 보건행정과
226,연세의원,의원,"경기도 양주시 광적면 광적로 4, 천성빌딩2층",031-836-8412,양주시 보건행정과
227,이화산부인과의원,의원,"경기도 양주시 평화로 1417, 3층 일부 (덕계동)",031-865-1230,양주시 보건행정과
228,이진석내과의원,의원,경기도 양주시 평화로 1420 (덕계동),031-861-2107,양주시 보건행정과
229,백경훈소아청소년과의원,의원,"경기도 양주시 평화로 1440, 302호 (덕계동)",031-864-3838,양주시 보건행정과
230,성모의원,의원,경기도 양주시 평화로 1435 (덕계동),031-863-2098,양주시 보건행정과
231,덕정의원,의원,경기도 양주시 화합로 1339-3 (덕정동),031-858-0003,양주시 보건행정과
232,고의원,의원,경기도 양주시 남면 개나리길 121,031-867-0553,양주시 보건행정과
233,윤홍식정형외과의원,의원,경기도 양주시 평화로 1452 (덕계동),031-863-8275,양주시 보건행정과
234,더트라움소아청소년과의원,의원,"경기도 양주시 덕계로 138-32, 307~315호 (덕계동)",031-861-7600,양주시 보건행정과
235,햇살가득요양병원,요양병원(일반요양병원),경기도 양주시 고읍로 160 (만송동),031-846-1777,양주시 보건행정과
236,경기웰니스요양병원,요양병원(일반요양병원),"경기도 양주시 평화로1479번길 45, 경기웰니스요양병원 (덕계동)",031-828-8500,양주시 보건행정과
237,서울 대효 요양병원,요양병원(일반요양병원),"경기도 양주시 고읍남로 36, 골든스퀘어 3~6층 (광사동)",031-894-1000,양주시 보건행정과
238,송추효요양병원,요양병원(일반요양병원),경기도 양주시 장흥면 가마골로258번길 100 (송추효요양병원),031-837-0100,양주시 보건행정과
239,돌담요양병원,요양병원(일반요양병원),경기도 양주시 백석읍 기산로440번길 106,031-876-1109,양주시 보건행정과
240,양주큰길요양병원,요양병원(일반요양병원),경기도 양주시 광적면 부흥로 955-13,031-836-4488,양주시 보건행정과
241,신안요양병원,요양병원(일반요양병원),경기도 양주시 백석읍 기산로440번길 102,031-876-0119,양주시 보건행정과
242,연세요양병원,요양병원(일반요양병원),경기도 양주시 백석읍 기산로440번길 110-31,031-876-5417,양주시 보건행정과
243,송추효사랑요양병원,요양병원(일반요양병원),경기도 양주시 장흥면 호국로 439-22,031-829-7700,양주시 보건행정과
244,실로암노인전문병원,요양병원(노인병원),경기도 양주시 남면 감악산로514번길 229-34,031-867-3131,양주시 보건행정과
245,에스엘서울병원,병원,경기도 양주시 고삼로 13 (만송동),031-928-5770,양주시 보건행정과
246,나무정원여성병원,병원,경기도 양주시 평화로1489번길 19-11 (덕계동),031-859-1231,양주시 보건행정과
247,양주예쓰병원,병원,경기도 양주시 회정로 103 (덕정동),031-825-5000,양주시 보건행정과
248,국군양주병원,병원,경기도 양주시 은현면 화합로 1133,031-857-0963,양주시 보건행정과
249,서울수려한치과병원,치과병원,"경기도 양주시 옥정로 222, 401~405호 (옥정동)",031-928-5098,양주시 보건행정과
250,송추정신병원(성람재단),정신병원,경기도 양주시 장흥면 가마골로258번길 122,031-826-1300,양주시 보건행정과
251,참한방병원,한방병원,경기도 양주시 백석읍 기산로471번길 1-13,031-826-9700,양주시 보건행정과
252,양주가람한방병원,한방병원,"경기도 양주시 회천남로 76, 한덕타워 7층전체,8층일부(802,803호) (옥정동)",031-928-5211,양주시 보건행정과
